,Open,High,Low,Close,Adj Close,Volume
count,1260.0,1260.0,1260.0,1260.0,1260.0,1260.0
mean,2208.119022333332,2217.2220408515877,2198.329730615078,2208.5791827325397,2208.5791827325397,3545683214.285714
std,311.7835869998381,312.0182611600117,311.7689255549907,311.69950482843774,311.69950482843774,678585433.1198683
min,1656.98999,1662.469971,1646.469971,1655.449951,1655.449951,1307630000.0
25%,1984.5049747500002,1991.56500225,1975.112457,1985.5150145000002,1985.5150145000002,3154532500.0
50%,2101.550049,2108.744995,2091.594971,2101.2650145,2101.2650145,3448470000.0
75%,2434.3649905,2441.52252175,2428.23498525,2434.77752675,2434.77752675,3821982500.0
max,2936.76001,2940.909912,2927.110107,2930.75,2930.75,7597450000.0
